Title,Service_Request_Count
VWITS- Kindly allow access to close the tasks.,1
VWITS- Kindly provide DevStack access,1
VWITS- Lockscreen for GPTW scores_2 April - 17 April,1
VWITS- Monitor at my home and somehow i broke the screen.,1
VWITS- MyServe portal for the Resource Account and Distribution List form,1
VWITS- Need HDMI cable,1
VWITS- Need email sent access to following DL: VWVI DL PL VWITS_DL_PL_CZECH <vwits.czech@volkswagen.co.in> from the DL,1
VWITS- Need to add  mac address on vw-internal ssd id for MacBook's DEP,1
VWITS- Need to delete from AD EPO,1
VWITS- Need to install oracle instant client,1
"VWITS- Discussion on ""No value"" Incidents on DLP",1
"VWITS- Due to project requirements, our team requires Flexera access.",1
VWITS- EVP screensavers_6 April - 17 April,1
VWITS_ run below command in power shell: PS /Users/av0ub6a/code/hra> Connect-PnPOnline https://volkswagengroupdev.sharepoint.com/sites/Testsite-AIOperator/  -ClientID '0cb202e0-39f8-4869-9ec6-5fcc11c40e1c' -deviceLogin -Tenant '36bf0149-5b2b-4158-896d-e40,1
VWITS_'VWITS - IT Asset Requisition' requester details.(BLR Location),1
VWITS_'VWITS - IT Asset Requisition' requester details.(Headset),1
VWITS_'VWITS - IT Asset Requisition' requester details.(Ipad),1
VWITS_'VWITS - IT Asset Requisition' requester details.(Lenovo's laptop),1
VWITS_'VWITS - IT Asset Requisition' requester details.(MacBook Allocation),1
VWITS_'VWITS - IT Asset Requisition' requester details.(MacBook),1
VWITS_'SAFE AND RSA Activation Form' requester details,1
VWITS_'VWITS - IT Asset Requisition' requester details (GGN),1
VWITS_'VWITS - IT Asset Requisition' requester details (Headset),1
VWITS_'VWITS - IT Asset Requisition' requester details (Laptop allocation),1
VWITS_'VWITS - IT Asset Requisition' requester details (Temporary Laptop),1
VWITS_'VWITS - IT Asset Requisition' requester details(MacBook PD-II allocation).,1
VWITS_'VWITS - IT Asset Requisition' requester details(SDC_GGN),1
VWITS_'VWITS - IT Asset Requisition' requester details. (Lenovo's laptop),1
VWITS_'VWITS - IT Asset Requisition' requester details. (PD-II)GGN,1
VWITS_ require access for Jira and Confluence link which resides on Cocoa Devstack. Kindly add userid to VWAG_COCOADEVSTACK_RDR profile,1
VWITS_'VWITS - IT Asset Requisition' requester details.(Zbook ),1
VWITS_'VWITS - IT Asset Requisition' requester details.(headset),1
VWITS_'VWITS - IT Asset Requisition' requester details.SDC(ggn),1
VWITS_'VWITS - IT Asset Requisition' requester details._Apple MacBook Battery is draining unusually,1
VWITS_'VWITS - IT Asset Requisition' requester details._Keyboard,1
VWITS_'VWITS - IT Asset Requisition' requester details_ Apple MacBook,1
VWITS_'VWITS - IT Asset Requisition' requester details_ Replacement MacBook,1
VWITS_'VWITS - IT Asset Requisition' requester details_Apple,1
VWITS_'VWITS - IT Asset Requisition' requester details_Apple MaCbook,1
VWITS_'VWITS - IT Asset Requisition' requester details_Apple MacBook (Transfer from Pune to GGN),1
VWITS_'VWITS - IT Asset Requisition' requester details. (VI Sim card),1
VWITS_'VWITS - IT Asset Requisition' requester details. HDMI cable,1
VWITS_'VWITS - IT Asset Requisition' requester details. Laptop,1
VWITS_'VWITS - IT Asset Requisition' requester details. Mouse,1
VWITS_'VWITS - IT Asset Requisition' requester details. headphone,1
VWITS_'VWITS - IT Asset Requisition' requester details.(Apple_GGN),1
VWITS- Facing challenges related to the VW-Group Wi-Fi and LAN for Gurgaon Location,1
VWITS- Facing issue Admin access,1
VWITS- Few softwares are not properly installed in it.,1
VWITS- Guest Network Access for MAN Colleagues : 8th to 11th April 2025,1
VWITS- I am facing login issue.,1
VWITS- I am not able to access on VW network.,1
VWITS- I lost Mouse of my computer.,1
VWITS- I need to know the bitlocker for my colleague's laptop,1
"VWITS- I would like to request User ID extension With   a.Cocoa – devstack, b.SAP Solution Manager PROD (SOP100)",1
VWITS- Issue with GITC_DEV Connection Timeout,1
VWITS- JIRA RPA Board Access,1
VWITS- KIRA Access requirement,1
VWITS- AA::27966::VWITS::IT::AISHA_HPSC_ChatbotIntegration,1
VWITS- AA::27966::VWITS::IT::AISHA_HPSC_ChatbotIntegration:,1
VWITS- AV update,1
VWITS_'VWITS - IT Asset Requisition' requester details.(Skoda Ecommerce project),1
"VWITS_5th,6th,7th  floor V-net Avaya phone Incoming call Issue",1
"VWITS_7zip, firefox and citrix need to reinstallation",1
VWITS_'VWITS - IT Asset Requisition' requester details_Apple MacBook PD II,1
VWITS_'VWITS - IT Asset Requisition' requester details_Apple Macbook_SDC,1
VWITS_'VWITS - IT Asset Requisition' requester details_Apple macBook,1
VWITS_'VWITS - IT Asset Requisition' requester details_Apple macbook,1
VWITS_'VWITS - IT Asset Requisition' requester details_Apple(GGN),1
VWITS_'VWITS - IT Asset Requisition' requester details_Headset,1
VWITS_'VWITS - IT Asset Requisition' requester details_defective headset has been replaced by the Jabra team. Kindly update the details in the central inventory as well as in the AMS tool.,1
VWITS_'VWITS - IT Asset Requisition_Apple MacBook_Power Co,1
VWITS_'VWITS - need ladmin password,1
VWITS_(\\\\10.105.152.23\\100404_hr_bot) this path is not coming in folder access form. Need access for this Path for RPA bot developemnt,1
VWITS_-Kira resources access,1
VWITS_-Resource :V:VWAG_GOT549_USR,1
VWITS_. Request for IT support,1
VWITS- External Digital Signage Player Device for OMNISignage display at CTIO area for B and C Hudson building,1
VWITS_AWS SSM request,1
VWITS_AWS cli installation,1
VWITS_Abhishek has recently joined BKM Shoma team as Developer. Kindly Create and grant access of Dev Stack account to him. Attached approval email from department head.,1
VWITS_.NET Framework 4.8 installation,1
VWITS_.NET SDK 8.0 installation,1
"VWITS_.net need to install, GGN",1
"VWITS_1 We are receiving the daily report titled \""09 - Other - Managed Clients - SKODA AUTO VW India - EPO - SAE4CI\"", and we would like to request an update to the report format. Could you please add a new column for \""Product Version (Trellix DLP Endpo",1
"VWITS_1. I want to change my Laptop 24-Hours clock to 12-Hours, but it is not allowing me and asking for admin credentials.",1
VWITS_1. Need Dev stack Access to run day to project activities  VWITS_ VWAG_COCOA_RDR (for LSO) resource access V:V-B2B-EXPORT,1
VWITS_1. Request for IT support of Below mentioned event,1
VWITS_1.\tFinance shared path: \\\\vwvircsfs\\Finance_5001 2.\tRPA Shared folder: \\\\vwvircsfs\\5001_RPA_Finance,1
VWITS_2. Need Dev stack Access to run day to project activities  VWITS_VWAG_COCOA_RDR (for LSO) resource access V:V-B2BINT,1
VWITS_3. Need Dev stack Access to run day to project activities VWITS_VWAG_COCOA_RDR (for LSO) resource access V:VWAG_COCOADEVSTACK_RDR,1
VWITS_4. Need Dev stack Access to run day to project activities VWITS_VWAG_COCOA_RDR (for LSO) resource access V:VWAG_COCOADEV_RDR,1
VWITS_5. Need Dev stack Access to run day to project activities  VWITS_VWAG_COCOA_RDR (for LSO) resource access VWAG_COCOA_RDR (for LSO),1
VWITS_5REQ1140237 : VW IT Software Requisition Request,1
VWITS_Access issue,1
VWITS_Access request V:V-UNIXWOB,1
"VWITS_Access request for  V:V-B2BINT, V:VWAG_COCOA_RDR",1
VWITS_9th anniversary event  step-up and support for GGN location,1
VWITS_:I've moved from Pune to Gurgaon location so kindly add me in VWITS.GGN@volkswagen.co.in and remove from VWVIDLPLGROUPIT_RCC@volkswagen.co.in,1
VWITS_A security vulnerability has been reported in older versions of Notepad++ (≤ 8.8.8).need to update update Notepad++ to version 8.8.9 . can you help me on updation ?,1
VWITS_A-CICIP,1
VWITS_A-CICIQ-ONL,1
VWITS_A-CICIT,1
VWITS_A-CICIT-ONL,1
VWITS_A2MAC1 portal access required,1
VWITS_A360 Prod CR access required for SAVWIPL region to add credentials and locker,1
VWITS_A:A-CICIP  A:A-CICIT  A:A-IMSI  V:V-B2B-PFMA  V:V-B2B-EXPORT  V:V-B2BINT  V:V-CICSH  V:V-CICSO  V:V-CICSW  V:V-CICSY  V:V-IMSC  V:V-LOTSE  V:V-UNIXWOB  V:VWAG_AD_APAC  V:VWAG_APAC_AD  V:VWAG_CMDB_VW_USER  V:VWAG_COCOADEVSTACK_RDR  V:VWAG_COCOADEV_RD,1
VWITS_AMS Portal – AMS - Power Apps not accessible => unable to update asset inventory,1
VWITS_AP port activation for innovation Hub room,1
VWITS_AWS  SSM reuest,1
VWITS_Access to KVS KIRA ROLE V: V-KVS_USER,1
VWITS_Access to Power CO Data Program space page in Confluence,1
VWITS_Access to Success Factor is not working,1
VWITS_Access to V:VWAG_COCOADEVSTACK_RDR DL to some employees,1
VWITS_Access Card (PKI Card) faded,1
VWITS_Access Request to KIRA Roles.,1
VWITS_Access Required for Bitbucket,1
VWITS_Access Required for Dev Stack. Could not login to the required pages. Like Jira,1
VWITS_Access for J-frog and Devstack,1
VWITS_Access for Jfrog Devstack tool,1
VWITS_Access for Jira and  Cocoa Devstack.,1
VWITS_Access for Jira and Bitbucket,1
VWITS_Access for KIRA Resources,1
VWITS_Access for SAP BO REPORT DESIGNER and SAP BO REPORT USER,1
VWITS_Access for Shared Folder,1
VWITS_Access for this https://pass.pam.vwgroup.com/,1
VWITS_Add BOT User ID : EKTLYOY in VCD.,1
VWITS_Add Citrix link into Host file on VW laptop,1
VWITS_Add Macbook in Volkswagen Group network,1
VWITS_Add a MacBook MAC ID :  80:A9:97:2C:5E:F8 for DEP process,1
VWITS_Add a MacBook MAC ID :  80:A9:97:34:70:AC for DEP process,1
VWITS_Access request for V:V-B2B-EXPORT,1
VWITS_Access request for V:VWAG_COCOADEVSTACK_RDR,1
VWITS_Access request for V:VWAG_COCOADEV_RDR,1
VWITS_Access request for V:VWAG_COCOA_RDR,1
VWITS_Access request to below mentioned KIRA roles,1
"VWITS_Access required – System WOB-A, WOB-B Mainframe access – TSOA, TSOD",1
VWITS_Access to Cocoa Dev stack via ticket number RR20546557 .,1
VWITS_Access to Devstack,1
VWITS_Access to FACT Folder,1
VWITS_Access to Guest Network that has Open internet.,1
VWITS_Access to JFrog and Devstack,1
VWITS_Add printer to laptop,1
VWITS_Add printer to my newly assgined laptop,1
VWITS_Add to cgm-vwits-clouddevops-sdc group to get confluence space access as a new joinee,1
"VWITS_Add user to \""cgm-vwits-clouddevops-sdc\"", \""cgm-vwits-developer\"" and \""cgm-vwits-user\"" for confluence-wob [https://confluence.wob.vw.vwg:8443/confluence/]",1
"VWITS_Add xml file to SAP GUI, Such that I can see all systems.",1
"VWITS_According to KIRA, the resource “VWAG_AAD_GUEST” has been assigned. However, it appears that the transfer to the VCD was not completed successfully.",1
VWITS_Account has been locked and unable to log in,1
"VWITS_Account has been locked, please unlock it",1
VWITS_Account is locked,1
VWITS_Account is locked. Urgent resolution needed,1
VWITS_Account locked out for user,1
"VWITS_Account locked sor success factor, need to unlock my account",1
VWITS_Acess for SAP Concur,1
VWITS_Activate international roaming on company Mobile.,1
VWITS_Active presenter was already installed in my previous system. I want same software in my new laptop.,1
VWITS_Add  macbook mac address for DEP,1
VWITS_Admin rights to install Oracle 18c software,1
"VWITS_Admit credentials issue for installing software oracle , JDK , Node JS , setup environment variable",1
VWITS_Adobe Sign Portal,1
VWITS_Adobe acrobat not working and responding,1
VWITS_Adobe acrobat not working could you help.,1
VWITS_Adobe acrobat reader not working properly while using PDF,1
VWITS_Add a MacBook MAC ID :  BC:D0:74:81:84:0D for DEP process,1
VWITS_Add a path for phrase app cli,1
VWITS_Add additional clock in the task bar for Japan Time zone,1
VWITS_Add all resources in KIRA as per attached email,1
VWITS_Add extension to Chrome: Testcase Studio plugin,1
VWITS_Add me into Confluence Groups,1
VWITS_Add my ID to confluence group: cgm-vwits-clouddevops-sdc to access the confluence pages,1
VWITS_Add my Mail Id to the Communication Mail Thread,1
VWITS_Add my email address in DL for common communications of the company,1
VWITS_Add my profile picture on teams,1
"VWITS_After the recent thinkcell software update on my system, the software is asking for the license key.",1
"VWITS_All Multimedia Devices at VWITS premises should be connected on \""VW Internal\"" network.",1
VWITS_Allow server admin account access,1
VWITS_Amazon SSM Agent,1
VWITS_An authorized client certificate is needed to establish the connection between ISQAD and SAMSON via API endpoint.,1
"VWITS_Animaze, Ultra Leap Gemni, Blocks Ultra Leap",1
VWITS_Adding  V:V-UNIXWOB Kira resource  to be added.,1
VWITS_Adding GGN SWs in PRTG Tool,1
VWITS_Adding shared mailbox,1
"VWITS_Addition of the ids into confluence groups relevant to their projects. Refer below table: \""cgm-vwits-clouddevops-sdc\"" and \""cgm-vwits-user\"" → mandatory for all newly onboarded resources. The ticket should be raise to the following SC3 group \""I",1
VWITS_Addition of user IDs in KIRA resource for EMDS team members,1
VWITS_Admin Access got revoked. Due to laptop replacement.,1
VWITS_Admin Credentials required for installation of Visual Studio 2026 professional from 2022,1
VWITS_Admin access is not working,1
VWITS_Admin access not working after restart,1
VWITS_Admin credentials for Visual Studio update,1
"VWITS_As a part of VW Connect Project i would like to install \""VirtualBox-7.0.8-156879-Win.exe\"". Kindly provide the associated approvals and access. Thanks !",1
VWITS_As a part of VW connect I need specific version of Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.44.35211 14.44.35211.0 | Microsoft Corporation |   Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.42.34438 14.42.34438.0 | Micros,1
"VWITS_As approved from CISO, need admin access role",1
"VWITS_As i am a new joinee of Nov, 2024, I have still not received headphone. Requesting to provide it.",1
"VWITS_As im a new joinee , need Access of CL Jira and Bit bucket",1
"VWITS_As mentioned below, a new joiner ID has been created for the user; however, they are unable to access MS Office applications due to a missing license.",1
VWITS_Adobe life cycle designer is not installed in my system and cause of these not able to open the adobe form layout in SFP tcode of VWT sandbox.,1
VWITS_After BIOS update and other updates. The system took longer time to start.,1
"VWITS_After BIOS update, Laptop ports and camera are not functioning.",1
"VWITS_After GOC of my system, IT team asked me to wait for 10 days for the microsoft 365 patch installation. It's been more than 10 days still I can't access the 365 softwares on my machine, Can you please help me regarding the same.",1
"VWITS_After GOC there are software that need to be installed on my machine, I need admin credentials to install them.",1
"VWITS_After connecting another screen, the screen is lagging. Its very difficult to work in new laptop",1
VWITS_After laptop replacement user required the admin access of replaced New laptop hostname- IIINPUNCLPH0435,1
VWITS_After longer time usage (3+ years) the headsets are not in proper conditions and needs replacement,1
VWITS_After mail migration GitHub Reconfiguration needed.,1
VWITS_After my email domain migration to vwgds.in some websites which require PKI authentication does not work.,1
"VWITS_As per the IT security advisory, update these software versions to their fixed releases:  pdAdmin: v9.4 → v9.11, Adobe Acrobat Reader: v25.001.20693 → v25.001.20997",1
"VWITS_As per the latest security advisory, Need to update PostgreSQL from 17.7 to 17.8 and Apache Tomcat from 9.0.112 to 9.0.115",1
"VWITS_As per the vulnerability assessment report, Microsoft 3D Viewer is detected as a vulnerable version.",1
"VWITS_As request by network team we are raising this request, We are currently unable to access the recently migrated development server through our Zscaler VPN network. Please refer to the attached email trail below for additional context.",1
"VWITS_As we are onboarding in ODD team as developers, we would need access to devstack.",1
VWITS_As we have relocated from the Congo building to the Hudson building,1
VWITS_Any application,1
VWITS_Application installation,1
"VWITS_Application installation-Docker desktop,Intellij,Git,JDK 17",1
"VWITS_Application installation-VS code, NodeJS,NVM",1
VWITS_Application uninstallation,1
VWITS_Aruba Switch data port collection with details,1
"VWITS_As I received the new Laptop so, below mentioned software are need to install which was present on my old Laptop",1
"VWITS_As IT Team changed  laptop so previously i had admin rights, please provide admin rights for HostName  IIINPUNCLPH0760",1
"VWITS_As a Product Lead, I need an access for LeanIX portal to have the access for my Product",1
"VWITS_As a part of VW Connect I would like to install following softwares VirtualBox, MobaXterm, VMWare Horizon Client, Eclipse",1
VWITS_Avaya Desk phone 9th floor B wing Reception not working,1
VWITS_Avaya inventory details complete for GGN location,1
VWITS_Azure Devops access to the VWITS_VWITS_Cocoa Dev stack,1
VWITS_Azure Portal access issue for PowerCo.,1
VWITS_Azure Service Account-Creation -We require an Admin User account in the O365 Global Tenant to complete the SVC Application Registration process.  This admin access is necessary to configure the application with the required permissions for email rea,1
VWITS_Azure Service Account-Creation -We require an Admin User account in the O365 Global Tenant to complete the SVC Application Registration process. This admin access is necessary to configure the application with the required permissions for email read,1
"VWITS_Azure Service Account-Creation for SVC Application for Email Intigration Read and Write with Application  team will transfer this to  <VWGS R: IN, O365 Global Tenant Support <o365.tenant.support@volkswagen-groupservices.com>",1
VWITS_B2B Resource approval,1
"VWITS_As part of day-to-day operations, I require the Kira role for group DMS to enable authorization within the Flexera ITAM system.",1
"VWITS_As part of day-to-day operations, the team requires the Kira role for group DMS to enable authorization within the Flexera ITAM system",1
VWITS_As part of the VGA program there is interface between Salesforce and third part system SFTP server(sftp.autosurvey.potentiateglobal.com) to send the customer files. Before we share with the business we need to verify/correct data to avoid the custom,1
"VWITS_As per conversation with HP service team, BIOS needs to be updated",1
"VWITS_As per my project requirement, I am trying to create an account, but I am receiving an email like this. Due to this, I am unable to create the account",1
VWITS_As per old laptop was install with SAP GUI application,1
VWITS_As per project requirement I want change data and time format on my system,1
"VWITS_As per the Email \""IMPORTANT SECURITY ADVISORY*  PostgreSQL - PostgreSQL Priority 2\"" i need to upgrade PostgreSQL from 18.1 to 18.2",1
VWITS_Below KIRA resources  are required,1
"VWITS_Below KIRA resources  are required for @Saini, Anshul (VWITS India I-DK-V)  cced (ID- 102180) , Kindly add the same.     V:VWAG_COCOADEVSTACK_RDR",1
"VWITS_Below servers are getting timed out, need to open firewall for these servers lies in Germany:",1
"VWITS_Birthday,anniversary etc mail not receiving",1
VWITS_Bit locker recovery key,1
VWITS_BitBucket access required,1
VWITS_Bitlocker Issue,1
"VWITS_Bitlocker issue  ,need to replace this",1
VWITS_Bitlocker key reset-,1
VWITS_Asset replacement HP to lenovo.(GGN),1
VWITS_Assign Cocoa DevStack role,1
VWITS_Assign KIRA resource as per request . approval attached . Shubham Kumar\t                        G8F8E3P\tVWAG_GEP_OC_VIEW,1
VWITS_Assign O365 Microsoft L3 license on the PA-SERVICE.PowerPlatform.PD Power Platform Support VW Group-SERVICE.PCOSHIFT@volkswagengroup.onmicrosoft.com and  PA-SERVICE.PowerPlatform.PD-SERVICE.POWERCO_AUDIT@volkswagengroup.onmicrosoft.com,1
VWITS_Assistance for DL creation,1
VWITS_Automation Anywhere BOT uninstallation and then Reinstallation,1
VWITS_Available software's are not reflecting in my self-service portal.,1
VWITS_C drive got full. please perform cleanup c drive activity,1
VWITS_C drive is full,1
VWITS_C drive memory full,1
"VWITS_C drive space full issue, please help me regarding the same.",1
VWITS_C drive space full.,1
VWITS_C drive space full. need to clear some space. have to delete files every other day due to space issue.,1
VWITS_C drive space is going to be insufficient soon.,1
VWITS_C drive storage has filled with almost 99 % so need admin credential for free up the space,1
VWITS_CATIA needs to be upgraded on VWVITHCPUA225,1
VWITS_CC for VWITS CZ to be added for raising SC.,1
VWITS_Back,1
VWITS_Backup of files on existing laptop before replacement,1
VWITS_Barco Not working » Location :-Hudson 7th Floor Ai PowerX Room »,1
VWITS_Barco/Clickshare connection is unstable,1
"VWITS_BeFrEi - Single Application and Deletion, AWS Access",1
VWITS_Below KIRA resources,1
VWITS_Can see the different department on Concur portal,1
"VWITS_Can the ownership of a Distribution List (DL) be changed, if so, what is the process?",1
VWITS_Can you add the below mentioned Distribution list.  Display Name: Digital Solutions IN DL I DI B - Alias Name : V-VT-9790-VWITIDB  Display Name: Digital Solutions IN DL I-DI - Alias Name : V-VT-9790-VWIIDI  Display Name: Digital Solutions IN DL QM C,1
VWITS_Can you help me Add/Install Printer to my device.,1
VWITS_Can you let me under which option do i need to raise the request for new PKI card in smart assist.,1
VWITS_Can you please add new KIRA resource ( VWAG_KPM_WRAPPER_DEV) for me,1
"VWITS_Can you please delete tmp/unnecessary files from my system so that performance improves? Right now, it's very slow",1
VWITS_Can you please enable Transcript in Teams for me?,1
VWITS_Can you please help to apply earned leave on 29th October and 4th of November,1
VWITS_Can you please help to apply planned leave on 29th October 2025,1
VWITS_Can you please install node.js in my system,1
VWITS_Bitlocker pin not working using the pin set by me.,1
VWITS_Block the mention domain,1
VWITS_Board room camera alignment,1
"VWITS_C Drive memory showing full. So need to clean temp, prefetch and cache memory.",1
VWITS_C drive full issue,1
VWITS_Cannot access VDI. Getting authentication error,1
VWITS_Canoe Software instalation,1
"VWITS_Card reader need to replace,",1
VWITS_Card reader require replacement>>GGN,1
VWITS_Catia installation in new tower machine,1
VWITS_Catia version need to be updated to R34,1
VWITS_Change SubDepartment2 from success factor,1
VWITS_Change of .NET SDK version.,1
VWITS_Change office working days,1
VWITS_Change system password,1
VWITS_Change the DNS server to 8.8.8.8,1
VWITS_Change the display name of ClickShare,1
VWITS_CI Jira is not working for me,1
VWITS_COCOADEVSTACK resource - I need jira conflunace access,1
VWITS_CSS QUERY,1
"VWITS_Can i borrow lenovo thinkpad charger for today, I forgot my laptop charger at home. thanks!",1
VWITS- Access of House of Ideas,1
VWITS- Access required for new server.,1
VWITS- Access the  Shared Folder Path with approval mail,1
"VWITS- Action required by January 31, 2026: Update to IP address allowlist for travel emails",1
VWITS- Azure VPN installation.,1
VWITS- Can you please provide me the HDMI cable,1
VWITS- Cocoa DevStack Access for the new associates,1
VWITS- Configured printer on MAC,1
VWITS- Confluence access for IT-PEP documentation.,1
VWITS- Could you please help and assign the role: V-B2B-EXPORT,1
VWITS- Could you please revoke the access for the KIRA,1
VWITS- Could you please share AD Dump on Priority for Governance data preparation Feb 2025,1
VWITS- Could you please share AD Dump on Priority for Governance data preparation March 2026,1
VWITS Network device backup,1
VWITS REQ11066707 : VW IT Software Requisition Request Sed 4.9,1
VWITS Requesting you to Remove Wrong FE package location VWITS 9790,1
VWITS_Changing registry of outlook file in registry editor as suggested by SAP ..,1
VWITS_Charging slowly.,1
VWITS_Check Point certificate is going to expire. Please reassign.,1
VWITS_Check point Mobile application is not connecting,1
VWITS_Check roles VCD   Refer attached approval email.,1
VWITS_Checkpoint vpn need to install in macbook,1
VWITS_Chrome browser to be installed in my system,1
VWITS_Chrome installation,1
VWITS_Citrix MVW client,1
VWITS_Citrix Receiver Configuration,1
VWITS_Citrix installation in laptop,1
"VWITS_Citrix installation on new replaced laptop, GGN",1
VWITS_Citrix software installation for project,1
VWITS_Can you please update my sick leave for 24th December and 26th December 2024 and 2nd January 2025 in SuccessFactors,1
VWITS_Can't see software list in self service portal on new laptop,1
VWITS_Cannot able to access self service portal,1
VWITS_Confluence Access request/ Role assignment-V:VWAG_COCOADESTACK_RDR-DSL6H6L,1
VWITS_Confluence Access request/Role Assignment-  V:VWAG_COCOADEVSTACK_RDR,1
VWITS_Citrix to access scania vdi,1
VWITS_Citrix workspace,1
VWITS_Citrix workspace installation for system,1
VWITS_Citrix workspace on my laptop,1
VWITS_Clean up laptop disk space,1
VWITS_Clickshare config in VIBN lab is changed. Need to correct it. Hudson 7th Floor.,1
VWITS_Clickshare not working on TV,1
VWITS_Co-owners are not able to the details of the DL.,1
VWITS_Cocoa Dev Stack installation,1
VWITS_Color Printer access,1
VWITS_Color printer access,1
VWITS_Colored Printer Access,1
VWITS_Common folder access,1
VWITS_Company Car discount form submission,1
VWITS_Confluence Access request/Role assignment-V:VWAG_COCOADEVSTACK_RDR-<<106988>>,1
"VWITS_Confluence Access request/Role assignment-V:VWAG_COCOADEVSTACK_RDR-<<VQF3041>>\"" eg. Confluence Access request/Role assignment-V:VWAG_COCOADEVSTACK_RDR-TPXXXBB",1
"VWITS_Concur not working, gave error essential cookies missing",1
VWITS_Concur portal assistance,1
VWITS_Configure Avaya phone,1
"VWITS_Configure HR_BOT@volkswagen.co.in, VITI R: Hinjewadi, SYSINDIAHR,VWITS R: Hinjewadi, HR_BOT to new VM as old vm is stopped VW\\ED4199D for RPA bot run",1
VWITS_Configure Printer,1
VWITS_Configure Printer on my Laptop.,1
VWITS_Configure virtual smart card,1
VWITS_Confluence  Access  request/Role  assignment-V:VWAG_COCOADEVSTACK_RDR-GP0OPZ,1
VWITS_Confluence Access Request/Role Assignment- V:VWAG_COCOADEVSTACK_RDR-F8EYN6O,1
VWITS_Confluence Access Request/Role assignment-V:VWAG_COCOADEVSTACK_RDR-TPXXXBB,1
VWITS_Confluence Access and JIRA access request/Role assignment-V:VWAG_COCOADEVSTACK_RDR_T6ENYQI,1
VWITS_Confluence Access for the user,1
VWITS_Confluence Access request/ Role Assignment - V/VWAG_COCOADEVSTACK_RDR_,1
VWITS_Confluence Access request/ Role assignment -V:VWAG _ COCOADEVSTACK_RDR_ABU9A07,1
VWITS_Confluence Access request/Role assignment-V:VWAG_COCOADEVSTACK_RDR-G8FKBNM,1
VWITS_Confluence Access request/Role assignment-V:VWAG_COCOADEVSTACK_RDR-SH0Y0GK,1
VWITS_Confluence Access request/Role assignment-V:VWAG_COCOADEVSTACK_RDR-TGCOEXY,1
VWITS_Confluence Access request/Role assignment-V:VWAG_COCOADEVSTACK_RDR-TLQ16FA,1
VWITS_Confluence Access request/Role assignment-V:VWAG_COCOADEVSTACK_RDR-TYNKQ8P,1
VWITS_Confluence Access request/Role Assignment- V:VWAG_COCOADEVSTACK_RDR,1
VWITS_Confluence Access request/Role Assignment-V:VWAG_COCOADEVSTACK_RDR-FI0SM5Y,1
VWITS_Confluence Access request/Role assignment - V:VWAG_COCOADEVSTACK_RDR - S6JTYMF,1
VWITS_Confluence Access request/Role assignment - V:VWAG_COCOADEVSTACK_RDR-TCZVHEJ,1
VWITS_Confluence Access request/Role assignment- V:VWAG_COCOADEVSTACK_RDR,1
VWITS_Confluence Access request/Role assignment- V:VWAG_COCOADEVSTACK_RDR - WKULUG7,1
VWITS_Confluence Access request/Role assignment- V:VWAG_COCOADEVSTACK_RDR -E3GMVUS,1
VWITS_Confluence Access request/Role assignment- V:WVAG_COCODAEVSTACK_RDR-<User ID>>” eg. Confluence Access request/Role assignment-V:WVAG_COCODAEVSTACK_RDR-TPXXVBR,1
VWITS_Confluence Access request/Role assignment-V:VWAG_COCOADEVSTACK,1
VWITS_Confluence Access request/Role assignment-V:VWAG_COCOADEVSTACK_RARD-W1RM3A8,1
VWITS_Confluence Access request/Role assignment-V:VWAG_COCOADEVSTACK_RDR-  GAICAL6,1
VWITS_Confluence access,1
VWITS_Confluence access - Confluence Role: VWAG_COCOADEVSTACK_RDR is required to be assigned to your user ID GEW8L6T,1
"VWITS_Confluence access for these 2 spaces : ""cgm-vwits-clouddevops-sdc"" and ""cgm-vwits-user""",1
VWITS_Confluence access request/ Role assignment - V:VWAG_COCOADEVstack_RDR,1
VWITS_Confluence access request/role assignment V; VWAG_COCOADEVSTACK_RDR-TRXXXBB User ID- FY963QK,1
VWITS_Confluence access request/role assignment-VWAG_COCOADEVSTACK_RDR-ABY23JA,1
VWITS_Connect Client software upgrade,1
VWITS_Confluence Access request/Role assignment-V:VWAG_COCOADEVSTACK_RDR-ANIUHA7,1
VWITS_Confluence Access request/Role assignment-V:VWAG_COCOADEVSTACK_RDR-ASYQE6U,1
VWITS_Confluence Access request/Role assignment-V:VWAG_COCOADEVSTACK_RDR-DOQL81I,1
VWITS_Confluence Access request/Role assignment-V:VWAG_COCOADEVSTACK_RDR-DSL6H6L,1
VWITS_Confluence Access request/Role assignment-V:VWAG_COCOADEVSTACK_RDR-E0ZORC1,1
VWITS_Confluence Access request/Role assignment-V:VWAG_COCOADEVSTACK_RDR-EW7I7G3,1
VWITS_Confluence Access request/Role assignment-V:VWAG_COCOADEVSTACK_RDR-F3THHAX,1
VWITS_Confluence Access request/Role assignment-V:VWAG_COCOADEVSTACK_RDR-FPXJWTT,1
VWITS_Confluence Access request/Role assignment-V:VWAG_COCOADEVSTACK_RDR-G626HZV,1
"VWITS_Could you help me install JDK and Maven, and also assist me in editing the system variables",1
VWITS_Could you please add below users to the group 'cgm-vwits-clouddevops-sdc' so that they can confluence wob.,1
VWITS_Could you please assign following KIRA resources to the given user id – E6OS8A3,1
VWITS_Could you please check and add my email id  in DL - VWVI DL PL VWITS_PUNE.,1
