Title,Service_Request_Count,Percentage
VWITS_I need to upgrade few software in my laptop,1,0.0
VWITS_I need to virtual smart card install in my system,1,0.0
VWITS_I need virtual PKI card configuration.,1,0.0
VWITS_I need virtual PKI for my ID - G9YKFWU. Please let me to get virtual PKI card.,1,0.0
"VWITS_I received a mail to get my laptop changed with IT team since my current laptop is at its end of life. While I try booking a slot using portal it is not allowing me to book a slot and it give message as \""Pending\"". Attaching screenshot for your ref",1,0.0
"VWITS_I received an email for asset allocation confirmation, and it asks me to accept via a PowerApp link. I don’t have access to PowerApps — could you please give me access so I can complete the acknowledgement?",1,0.0
VWITS_I received the new tower machine to which I would like to have the RDC access.,1,0.0
"VWITS_I recently joined IFA Development team. For getting access to IFA system and related portals, I need to be part of below KIRA resources - UNIXWOB, V:VWAG_COCOA_RDR, IFA, V:V-TSOA. Need access to my user id : G90UB1Y. Approval from department head is",1,0.0
"VWITS_I recently raised a request to get self-service portal installed on my asset. But after it got installed last week, I'm unable to see any available software when launching the portal and the screen remains blank. I need assistance to fix this issue",1,0.0
VWITS_I request devstack access,1,0.0
VWITS_I request to setup teams and outlook on my cellular,1,0.0
VWITS_I request you to add me to Pune DL’s please.  I haven’t got any updates since the day I joined (01Sep).,1,0.0
VWITS_I require HDMI Cable for lenevo laptop for extending monitor screen.,1,0.0
VWITS_I require access for JIRA and Confluence link which resides on Cocoa Devstack.,1,0.0
VWITS_I require access for Jira and Confluence link which resides on Cocoa Devstack,1,0.0
VWITS_I require access to the following KIRA resources for my user ID,1,0.0
"VWITS_I require access tot he following confluence groups \""cgm-vwits-clouddevops-sdc\"" and \""cgm-vwits-user\"" in Wob Confluence",1,0.0
VWITS_I require admin access on provided hostname,1,0.0
"VWITS_I require the access to microsoft applications (excel, word, powerpoint). I do not have these applications installed in my system",1,0.0
VWITS_I required Code Lite software Installation in my VM.,1,0.0
VWITS_I serve link not working. I serve not opening.,1,0.0
VWITS_I tried to install My SQL workbench from through self service portal but facing problem to install,1,0.0
"VWITS_I want 10.104.156.41 this IP as static IP for my system. Earlier we had done it as static ( from ticket RR21534425). But after motherboard issue resolved, it is no more static.",1,0.0
VWITS_I want Access for AWS dev please give it as soon as possible,1,0.0
VWITS_I want Asset submission from a resource name Priyanka Singh in Banglore location,1,0.0
VWITS_I want HDMI to HDMI Cable,1,0.0
VWITS_I want Remote Desktop connection for Hostname : VWVITHCPUA305,1,0.0
"VWITS_I want WSL to be installed, need admin credentials.",1,0.0
VWITS_I want WSL to be setup on my system. Need admin credentials to enable the wsl.,1,0.0
VWITS_I want a HDMI Cable,1,0.0
VWITS_I want a keyboard. So please issue it.,1,0.0
VWITS_I want access for Dev Stack and Jfrog artifactory,1,0.0
VWITS_I want access of CONNECT Support VW Group Assignment Group on SC3 Productive System,1,0.0
VWITS_I want access of V:V-B2BINT  V:V-B2B-EXPORT.,1,0.0
VWITS_I want access to AISHA Devstack,1,0.0
VWITS_I want access to BitBucket,1,0.0
VWITS_I want access to Jfrog Artifactory,1,0.0
VWITS_I want access to POWER AMS shared folder. The link for the same is '\\\\10.105.152.23\\Delivery-II-MAN\\FIOOA_FIUB_FIAE\\Power AMS'. I also have the approval mail from the owner of this shared folder. Thank You,1,0.0
VWITS_I want access to POWER AMS shared folder. The link for the same is '\\\\\\\\10.105.152.23\\\\Delivery-II-MAN\\\\FIOOA_FIUB_FIAE\\\\Power AMS'. Thank You,1,0.0
VWITS_I want access to below mentioned roles,1,0.0
VWITS_I want access to this shared email ID 'Direct.Tax@volkswagen.co.in' So that i should receive the emails sent to the mentioned email ID,1,0.0
VWITS_I want admin access to install software,1,0.0
VWITS_I want an Jira access of VWITS - https://jira.wob.vw.vwg:8443/jira/login.jsp,1,0.0
VWITS_I want an access to KIRA resources as follows,1,0.0
VWITS_I want bitbucket acess,1,0.0
VWITS_I want postman on pc for project,1,0.0
VWITS_I want printer access.,1,0.0
VWITS_I want raise ticket for Apache Tomcat 8 installation for project requirements,1,0.0
VWITS_I want remote desktop access for the tower station with hostname,1,0.0
VWITS_I want some applications to be downloaded for my training.,1,0.0
VWITS_I want the access of JFrog Artifactory and DevStack.,1,0.0
"VWITS_I want this \""+91 73910 07161\"" number to be reactivated for on call support",1,0.0
VWITS_I want this email id as SHARED EMAIL ID - <prime.application@volkswagen.co.in> so I can add this in Outlook Groups. Also please give edit rights to Mr. Jens Brill - jens.brill@volkswagen.de,1,0.0
"VWITS_I want to Opt for VPF voluntary PF contribution, so looking more about he process to be followed to opt for it.",1,0.0
VWITS_I want to access  VPN on my personal mobile,1,0.0
VWITS_I want to access cyber arc with my Audi user id. Could you please grant access for same.,1,0.0
"VWITS_I want to access for The Nerdy Tech box,",1,0.0
VWITS_I want to add below mentioned project related environment variables in my windows machine. So kindly need your help regarding same.,1,0.0
VWITS_I want to add below mentioned project related environment variables in my windows machine. So kindly need your help regarding same. GITHUB_NPM_AUTH_TOKEN [REMOVED] WFA_NPM_AUTH_TOKEN [REMOVED]
VWITS_I want to add delegate account(igks-sdc-neon-ops.vwits.r.hinjewadi@volkswagen.co.in) in my outlook,1,0.0
VWITS_I want to add extention of Katalon recorder and Selector hub for testing purpose,1,0.0
VWITS_I want to add igks-sdc-neon-ops.vwits.r.hinjewadi@volkswagen.co.in in my outlook but I am not able to add it,1,0.0
"VWITS_I want to add muself to confluence group \""cgm-vwits-clouddevops-sdc\""",1,0.0
VWITS_I want to add one more date format in my system settings.,1,0.0
VWITS_I want to add one more date format like dd.mm.yy in my system,1,0.0
VWITS_I want to apply sick leave on 12.02.2025.Kindly help me to apply sick leave.,1,0.0
VWITS_I want to avail car discount policy.,1,0.0
VWITS_I want to avail for locker or drawer to keep my personal belongings or headphones or laptop in office,1,0.0
VWITS_I want to change me headphones as the cushion on the headphones are messed up and are wore down . I need new headsets .,1,0.0
"VWITS_I want to change my I card, as my ID is very old and my picture is not clear on it.",1,0.0
VWITS_I want to change the ownership of these two mailboxes to myself. igks-sdc-neon-ops.vwits.r.hinjewadi@volkswagen.co.in igks.sdc.shoma.ops@volkswagen.co.in,1,0.0
VWITS_I want to configure printer name  on my laptop,1,0.0
VWITS_I want to connect to the board rooms screen sharing please give access,1,0.0
VWITS_I want to copy nuget 1.exe file into my Program file(x86) folder. It required the Admin right,1,0.0
VWITS_I want to create System certificate for SSL authentication to hit API endpoint of another application which is under VW infra-network.,1,0.0
"VWITS_I want to create a distribution list for my project viz. CPS. I want to add/configure 6 people from my team to this list, to get regular updates related to my project activities.",1,0.0
VWITS_I want to create absence of Training/Seminar from 09 June 2025 to 13 June 2025 as I am not able to apply it on Success Factor. User ID: UBEXJH0,1,0.0
VWITS_I want to create absence of Training/Seminar from 09 June 2025 to 13 June 2025 as I am not able to apply it on Success Factor. User ID: V1I82O8,1,0.0
VWITS_I want to create java home path in system enviroments,1,0.0
VWITS_I want to create pst file for year 2025 in my outlook. Kindly assist for the same,1,0.0
VWITS_I want to create rule for auto archive emails before 2 days,1,0.0
VWITS_I want to delete folder for that I need admin credentials,1,0.0
VWITS_I want to download omnissa Horizon client for windows,1,0.0
"VWITS_I want to download software related to TI-Syncro, but I am unable to find it in Software list.",1,0.0
"VWITS_I want to enable International Calling on my Company Issued Sim card, Also I have a approval from our PD Head",1,0.0
VWITS_I want to get added in this group cgm-vwits-clouddevops-sdc,1,0.0
VWITS_I want to get power BI pro license,1,0.0
"VWITS_I want to get power BI pro license,",1,0.0
VWITS_I want to get the registry entry done for my VWITS profile.,1,0.0
VWITS_I want to grant access to new team members to my email box:,1,0.0
VWITS_I want to increase the size of Procurement folder by 10GB. Path for the same is \\\\10.105.152.23\\Procurement_VWITS. Please do the needful at the earliest,1,0.0
VWITS_I want to install / get firefox and edgedriver,1,0.0
VWITS_I want to install Adobe reader software to access one of the file that client has shared,1,0.0
VWITS_I want to install Classification add on for office VWGoA3.0,1,0.0
VWITS_I want to install Github Copilot extension for Visual Studio Professional,1,0.0
VWITS_I want to install Local SAP Logan pad in my local system,1,0.0
VWITS_I want to install ManageEngine portal for self service to install applications directly,1,0.0
VWITS_I want to install Minikube on my system for learning Kubernetes concepts.,1,0.0
VWITS_I want to install Node Version Manager (NVM) to keep more than one node locally installed to continue with multiple project work at a time,1,0.0
"VWITS_I want to install Oracle Virtual Box software for my project requirement, but it is not available in software list",1,0.0
"VWITS_I want to install Oracle database 19c Enterprise version on my local machine for testing and development purpose, is it possible and and what is process for it",1,0.0
"VWITS_I want to install Printer on my laptop, I need it for my daily tasks",1,0.0
VWITS_I want to install Putty software for VW Connect Project.,1,0.0
VWITS_I want to install SAP GUI 7.70,1,0.0
VWITS_I want to install VS Code and PyCharm for the common module training as specified in the mail,1,0.0
VWITS_I want to install Websphere 25.0.0.6 in my local machine.,1,0.0
VWITS_I want to install and download few software on my machine. Regarding this I need admin credentials.,1,0.0
"VWITS_I want to install citrix for scania, but the dept. and cost center are yet to be updated in software requisition form.",1,0.0
VWITS_I want to install draw.io software in my system.,1,0.0
"VWITS_I want to install intellij, chrome browser, node js 22.16.0, vs code, git, java 17",1,0.0
VWITS_I want to install mysql server please help me regarding same,1,0.0
VWITS_I want to install notepad++ in my system- Congo-Resolved,1,0.0
VWITS_I want to install postman,1,0.0
"VWITS_I want to install python, git, .net, node, helm and docker in my system to support the DevOps env",1,0.0
VWITS_I want to install software Postman and GitHub for project purpose.,1,0.0
VWITS_I want to install terraform in my system.,1,0.0
"VWITS_I want to install the Devexpress product License assigned to me, I want to install the license version.",1,0.0
"VWITS_I want to intall intellij ultimade edition on my temp laptop, i had intellij ultimate edition on my MacBook",1,0.0
VWITS_I want to know how much amount will be deducted for furniture opting.,1,0.0
VWITS_I want to know when macbook will i get back as my Id is  IR30284151. pls let me know the time .its urgent,1,0.0
VWITS_I want to raise request for admin access.,1,0.0
VWITS_I want to remove admin access from my system,1,0.0
VWITS_I want to replace my Headphones because it is not working properly.,1,0.0
VWITS_I want to request HDMI cable till new docking station is available,1,0.0
VWITS_I want to request access for the SC3 portal. I am part of EWM development release team and need access to SC3 portal to handle incoming requests.,1,0.0
VWITS_I want to reset my mac password,1,0.0
VWITS_I want to set default VW signature in outlook,1,0.0
VWITS_I want to setup podman for which i required the id and password of my system,1,0.0
VWITS_I want to share one folder from my Local PC to VMWare,1,0.0
VWITS_I want to transfer my Z2 desktop,1,0.0
"VWITS_I want to update attendance regularization 6, 7, 13, 14, 20 May for more than 9 hours",1,0.0
VWITS_I want to update my macOS,1,0.0
VWITS_I want to update my mobile number under my email properties,1,0.0
"VWITS_I want to update my photo in Teams and outlook, please provide me link for the same.",1,0.0
VWITS_I want to update my visual studio code,1,0.0
VWITS_I want to update oracle VM version to latest,1,0.0
"VWITS_I want to update that I was working from home on 4/04/2025, 22/04/2025, 23/04/2025",1,0.0
VWITS_I want to update the java version from 1.8 to java version 17.,1,0.0
VWITS_I want to upload photo on teams,1,0.0
VWITS_I want to use and save my diagrams from diagram.io,1,0.0
VWITS_I want to use the latest version of VS Code. So can you help me uninstall the current version and then install the latest one from service portal,1,0.0
VWITS_I want virtual PKI card to enable in my machine,1,0.0
VWITS_I wanted a HDMI cable so that I can able to connect my lenevo windows laptop to desktop screen.,1,0.0
VWITS_I wanted admin access on my local device. As I am working on Dotnet application and need to deploy it local IIS.,1,0.0
VWITS_I wanted to access the following folder path \\\\VWVICKSDLPPOC\\Unuathorised Software Installation,1,0.0
VWITS_I wanted to access the following folder path \\\\VWVICKSDLPPOC\\Unuathorised Software Installation I have raised the request earlier also it is resolved but still I am not able to access the path,1,0.0
"VWITS_I wanted to apply leaves for January, February month but I am not able to see my pending leave balance. Can you confirm from when it will be visible to apply?",1,0.0
VWITS_I wanted to discuss payroll issue,1,0.0
VWITS_I wanted to get HDMI cable to connect my machine with monitor in Hudson,1,0.0
VWITS_I wanted to inform you that I haven’t received any communication  from the Communication DL yet.,1,0.0
VWITS_I wanted to inform you that I haven’t received any communication from the Communication DL yet.,1,0.0
VWITS_I wanted to install notepad++ in my system.,1,0.0
VWITS_I wanted to install software WINSCP so need to download .exe,1,0.0
"VWITS_I wanted to use older node version, which was already installed and to use that, it needed admin credentials.",1,0.0
"VWITS_I was on casual leave on 26th December 2024, but I failed to apply for it through SuccessFactors.",1,0.0
VWITS_I was on planned leave on 15th December and 16th December. Can you please help to apply it in SuccessFactors as earned leave.,1,0.0
VWITS_I wish to reset the password for my PKI Extern card for my account extern.sanika.balwally@volkswagen.de,1,0.0
"VWITS_I wnat to install Postman, please guide me regarding that.",1,0.0
VWITS_I would like to activate my virtual PKI card for MACBOOK instead of using physical PKI card.,1,0.0
VWITS_I would like to add the Outlook plugin to sync the Cognigy release calendar events,1,0.0
VWITS_I would like to fetch the My service tickets older than one year. Starting from the 22 Nov 2023,1,0.0
VWITS_I would like to have a mozilla firefox on my computer,1,0.0
"VWITS_I would like to highlight that all my previous emails which were encrypted with old PKI card,  I am unable to access/open them with my new PKI card.   However, I would need access to my previous encrypted emails as well.   Request your kind support",1,0.0
VWITS_I would like to increase the Procurement serve size,1,0.0
VWITS_I would like to know if we can get go ahead to use ZAProxy for our Project (PPS). This is the alternative of BurpSuite for PenTest. Our Application Manager from VWAG need to get confirmation if we can go ahead with ZAProxy before she proceed for the,1,0.0
VWITS_I would like to remove the Docker license and uninstall the Docker application from the system.,1,0.0
VWITS_I would like to request access to an authorized Google account permitted within the Volkswagen Group.,1,0.0
VWITS_I would like to request access to the KIRA Profile,1,0.0
VWITS_I would like to request access to the KIRA Profile VWAG_MENDIX_USR,1,0.0
"VWITS_I would like to request an exchange of my current laptop due to frequent performance issues. The device often lags, and I have experienced several incidents where it needed to be restarted in order to resume work. This is impacting productivity.  Co",1,0.0
VWITS_I would like to request local administrative rights on my system to install software required for the VW Connect Project.,1,0.0
VWITS_I would like to request the creation of a new email DL,1,0.0
"VWITS_I would like to request your approval for access to the shared folder mentioned below,",1,0.0
VWITS_I would like to request your temporary approval for Wi-Fi access to perform the DEP process,1,0.0
VWITS_I would request you to please give your approval for my cocoa devstack access.,1,0.0
VWITS_I would require access on the RPA VWITS Jira Project.,1,0.0
"VWITS_I'd like to request installation of Citrix Workspace app from site - https://extranet.skoda-auto.cz/Citrix/ExtranetWeb/ to access Citrix enviroment within Skoda. I have the installation package downloaded, but need admin rights. Can we please connec",1,0.0
"VWITS_I'm New Joinee in VWITS, please add me in VWITS common DL",1,0.0
VWITS_I'm a new joineer in Cloud CoE and would like to configure virtual PKI card in my laptop.,1,0.0
VWITS_I'm facing issue with IntelliJ license activation.,1,0.0
VWITS_I'm having trouble signing in Teams. It either says retry or says you dont have access. Kindly assist on the same,1,0.0
"VWITS_I'm in the Aiteon meeting room, and ClickShare is NOT working here.",1,0.0
"VWITS_I'm new joinee, part of cloud CoE team. Require access to Microsoft Co-pilot",1,0.0
VWITS_I'm new joineee and part of Cloud CoE team. Require GitHub CoPilot Access,1,0.0
VWITS_I'm not receiving some emails on my outlook,1,0.0
"VWITS_I'm placed in NTAC program. So, I need to access SAP GUI for my sandbox for my practise. I tried the I.Serve portal but I dont know what to update in the terms and condition field. Please reach out to me tejas.c.j@volkswagen.co.in",1,0.0
VWITS_I'm the owner of Distribution List (DL) and trying to add new members in the DL from the below URL. https://ars.ads.vwgroup.com/ADSelfservices,1,0.0
VWITS_I'm the owner of this mailbox now. But still not able to add it to outlook.,1,0.0
VWITS_I'm unable to access to Admin machine via Remote Desktop Connection.,1,0.0
"VWITS_I'm unable to change PC password . Tried with Ctrl+alt+delete -> change password but it is not working . Every time the pop-up says : Unable to change password . Does not match the  criteria . Have tried with many combinations ( Alphanumberic , Capt",1,0.0
VWITS_I'm unable to reach the below hosts,1,0.0
VWITS_ID :- UZ24E95 Geeting error as Mailbox full not able to send or get any mails need your urgent support with this!,1,0.0
"VWITS_ID card has not been activated yet for me , its been month since i joined, also i dont have snipping tool access i am unable to do so",1,0.0
VWITS_IMS Portal access required,1,0.0
"VWITS_IOS 17.4 is not supported to IPhone 8, need updated version of that device.",1,0.0
VWITS_IP address is currently not assigned to any VLAN please add Ip 10.104.56.46 to Voice Vlan,1,0.0
VWITS_IPHONE :  MS teams and outlook are not being configured,1,0.0
"VWITS_IT Asset Laptop replacement for Yashasvi Kumar, GGN",1,0.0
VWITS_IT Asset Requisition form (GGN),1,0.0
VWITS_IT Asset allocation for new joinee(Laptop),1,0.0
VWITS_IT Asset allocation for new joinee(mouse),1,0.0
"VWITS_IT Asset allocation for new joinee, GGN",1,0.0
VWITS_IT Asset laptop allocation for new joiner,1,0.0
"VWITS_IT Asset laptop allocation, GGN",1,0.0
VWITS_IT Assets Allocation --GGN,1,0.0
VWITS_IT Assistance Required for BollyX Fitness Session Join In!,1,0.0
VWITS_IT Assistance Required for Dare to Dream with _Requirements_24th July 2025,1,0.0
"VWITS_IT Assistance Required for PM workshop At:-Hudson, 5th Floor Innovation room",1,0.0
"VWITS_IT Assistance Required for PM workshop At:-VWITS R: Hudson, 5th Floor Innovation room",1,0.0
VWITS_IT Infra Wifi password for 3 test devices,1,0.0
VWITS_IT Support request pending with Legal Approver,1,0.0
VWITS_IT Temp asset allocation,1,0.0
VWITS_IT Ticket reassign required,1,0.0
"VWITS_IT asset Mouse allocation, GGN",1,0.0
"VWITS_IT asset allocation , GGN",1,0.0
"VWITS_IT asset allocation ,GGN",1,0.0
"VWITS_IT asset allocation for new joinee, GGN",1,0.0
"VWITS_IT asset allocation for new joiner, GGN",1,0.0
VWITS_IT asset laptop allocation for Transfer user,1,0.0
"VWITS_IT asset replacement, GGN",1,0.0
"VWITS_IT asset request allocation , GGN",1,0.0
VWITS_IT_Infra Wi-Fi network to continue working with the VWT SAP Sandbox,1,0.0
VWITS_Idomp print is not working for my user ID,1,0.0
VWITS_Im facing issue with microphone and mic (less audible),1,0.0
VWITS_Im not able to apply a earned leave for 1 sep 2025 from success factor,1,0.0
VWITS_In Citrix  WORKSPACE unable to open RG desktop,1,0.0
VWITS_In Installed inteliJ projects are not opening. seem it is not working,1,0.0
VWITS_In Teams I have a Kanban Board. I am unable to access the kanban Board. When I update the board sometimes it is not visible to my team.,1,0.0
"VWITS_In continuation to IR29785983, Please continue with GOC of my laptop.",1,0.0
"VWITS_In continuation to RR21574447 , my Laptop went under GOC",1,0.0
"VWITS_In my MAC device I am seeing that its asking me to change the password, and only 4vdays left, kindly help me which password we need to chnge,",1,0.0
VWITS_In my laptop timing is not showing properly,1,0.0
VWITS_In my system software service portal not installed,1,0.0
VWITS_In old laptop keepass was there but now unable to see,1,0.0
VWITS_In our recent March-2025 vulnerability assessment,1,0.0
"VWITS_In outlook calendar, I can see multiple calendars under the ""My Calendars"" section",1,0.0
"VWITS_In reference to \\\""RR22154530 - Resolved - DOORS - DOORS APPs in Citrix bereitstellen\\\"" please assist me how to access Doors, using link in provided mail I can download the ICA file but don't know how to use it.",1,0.0
VWITS_Inbox folder email access,1,0.0
VWITS_Increase the storage of 10.104.124.26 server by 300 Gb for sda3/rhel-root. kindly assign this to linux team,1,0.0
VWITS_Increasing RAM 8GB to 16GB . Please do the needful,1,0.0
VWITS_Install 1\tOpenJDK 2\tOpenLiberty 3\tMaven 4\tNode Js 5\tIntelliJ 6\tgit,1,0.0
VWITS_Install ALM Client,1,0.0
VWITS_Install Beyond compare,1,0.0
VWITS_Install Citrix,1,0.0
VWITS_Install Docker on my system,1,0.0
VWITS_Install Eclipse,1,0.0
VWITS_Install Intellij Ultimate version.,1,0.0
VWITS_Install Java17 software for neo4j. It is required for custom tool development.,1,0.0
VWITS_Install Manage Engine application hostname - IIINPUNCLBL0060,1,0.0
VWITS_Install ManageEngine Endpoint Central,1,0.0
VWITS_Install Node.js version 18 or above,1,0.0
VWITS_Install Notepad++ application on my laptop,1,0.0
VWITS_Install Notepad++ on my system,1,0.0
VWITS_Install Omnibug extension for Microsoft Edge,1,0.0
VWITS_Install Oracle 19c refer request RR20202856,1,0.0
VWITS_Install Oracle virtual box,1,0.0
VWITS_Install Postman,1,0.0
VWITS_Install Printer Driver,1,0.0
VWITS_Install Printer in my system,1,0.0
VWITS_Install Printer on my machine in Hudson 7th Floor.,1,0.0
"VWITS_Install SAP GUI, SAP Secure Logon, Putty,  Citrix Workplace, WinSCP, kageant, keepass",1,0.0
VWITS_Install SAP gui on laptop,1,0.0
"VWITS_Install Tomcat,React and MYSQL on IIS Server",1,0.0
VWITS_Install Tortoise SVN application for development activities.,1,0.0
VWITS_Install VMWare Horizon Client,1,0.0
VWITS_Install Virtual Box,1,0.0
VWITS_Install Virtual PKI Certificate,1,0.0
VWITS_Install Virtual PKI in system,1,0.0
VWITS_Install VirtualBox and VMware.,1,0.0
VWITS_Install Visual Studio on laptop.,1,0.0
"VWITS_Install Visual studio, Putty and Pageant",1,0.0
VWITS_Install WinSCP software latest version,1,0.0
VWITS_Install WinSCP software on my laptop,1,0.0
VWITS_Install XML tool plugin in Notepad++. I want to install the XML tool plugin into my notepad++,1,0.0
"VWITS_Install \""ORACLE VM VIRTUAL BOX MANAGER\"" required for the VW Connect Project.",1,0.0
VWITS_Install automation  anywhere Bot Agent plugin for Microsoft Edge browser extention,1,0.0
VWITS_Install azure cli,1,0.0
VWITS_Install git-crypt in my system,1,0.0
VWITS_Install insomnia,1,0.0
VWITS_Install java 17 in system need admin access to install and setting up the environment variable setup,1,0.0
VWITS_Install latest version of Citrix Workplace to my laptop. Not able to login Citrix. Please treat this as High Priority,1,0.0
VWITS_Install mysql,1,0.0
VWITS_Install notepad++ application on laptop,1,0.0
VWITS_Install postman on  laptop,1,0.0
VWITS_Install printer for 9th floor Congo Building A Wing,1,0.0
VWITS_Install pulumi software,1,0.0
VWITS_Install pycharm community edition 2024 on my system.,1,0.0
VWITS_Install pycharm community edition 2024 on my system. ASAP this is causing a lot of delay for my project delivery,1,0.0
VWITS_Install self service application hostname,1,0.0
VWITS_Install virtual card in my laptop,1,0.0
VWITS_Installation Manager 1.9 Uninstallation.,1,0.0
VWITS_Installation of AWS CLI requiring admin access,1,0.0
VWITS_Installation of Notepad++,1,0.0
VWITS_Installation of Notepad++ and SN Utils extension,1,0.0
VWITS_Installation of Printer on laptop.,1,0.0
VWITS_Installation of ProjectWise Drive is required on my pc,1,0.0
VWITS_Installation of Python and Visual Studio Code software,1,0.0
VWITS_Installation of SAP Logon Pad,1,0.0
VWITS_Installation of SVN,1,0.0
VWITS_Installation of Slack on Mobile,1,0.0
VWITS_Installation of Virtual Smart Card and adding digital signature,1,0.0
VWITS_Installation of email,1,0.0
VWITS_Installation of intellij,1,0.0
VWITS_Installation of java JDK and maven,1,0.0
VWITS_Installation of mamba,1,0.0
VWITS_Installation of think cell .. Old reference number RITM10077046,1,0.0
VWITS_Installation request for Microsoft Visual Studio – Community Plan,1,0.0
VWITS_Installation request for jdk 8 and intelliJ IDEA?,1,0.0
VWITS_Installed Python need to edit system environment variable. Need help with Admin credentials.,1,0.0
VWITS_Installed typescript but its not working,1,0.0
VWITS_Installing Virtual Smart Card,1,0.0
VWITS_Installing node 22.16.0 and  vs code,1,0.0
VWITS_Intellij Idea Ultimate License renewal.,1,0.0
VWITS_Intellij Software installation,1,0.0
VWITS_Intelliji is not working,1,0.0
VWITS_Intermittent Hanging issues with machine,1,0.0
VWITS_Internet Connectivity is very slow. Not able to clone git repo taking too long.,1,0.0
VWITS_Internet Information Service Installation On Local Machine,1,0.0
"VWITS_Internet connection not working properly, downloading is too slow",1,0.0
VWITS_Internet connectivity issue to the machine.,1,0.0
VWITS_Internet got disconnected automatically after few minutes. when laptop is locked.,1,0.0
VWITS_Internet is very slow. Not able to work with such slow internet speed. Using VW-Group network.,1,0.0
"VWITS_Internet speed not enough to connect on slack group meetings, on hudson 6th floor",1,0.0
VWITS_Internet speed very slow in Hudson building 7th floor Desk: HUD-07-248,1,0.0
VWITS_Is it possible give VPN access on personal mobile. I want VPN access on personal mobile.,1,0.0
VWITS_Is there any tool available as INternal stackoverflow,1,0.0
VWITS_Issue related to the Time log in success factor,1,0.0
VWITS_Issue while trying to connect Azure portal by using Command Prompt with az login command,1,0.0
VWITS_Issue with Teams Camera and Video. Everyday i have to take a restart for it and i need earliest help to fix it.,1,0.0
VWITS_Issue with maven,1,0.0
"VWITS_Issue with my Iphone, unable to login to outlook and teams",1,0.0
VWITS_Issue with the laptop Microphone.Receivers has complained that the voice is low.,1,0.0
"VWITS_Issue: When connected to corporate VPN, access to Azure Storage Account 'vwagitfeuwdev' fails with 403 AuthorizationFailure.",1,0.0
VWITS_It request approval pending,1,0.0
VWITS_I’m from the I-DK-R Branding team and need a temporary USB-enabled laptop,1,0.0
"VWITS_I’m having an issue with my OnePlus Buds Pro 2 on my Windows 11 laptop. The headphones connect successfully via Bluetooth and work fine for audio playback, but the microphone is not detected by the system. When I open the Sound Control Panel - Rec",1,0.0
"VWITS_I’m working from our Gurgaon office. I am working on Linc Virma Project, and for daily activities of the project, I must access this Virtual Machine by using the remote desktop connection.  Hostname\tVWAGWOCOM0VK Port\t3389 IP Address\t1",1,0.0
VWITS_I’m writing based on recent findings indicating that the software MangoDB,1,0.0
VWITS_I’ve recently joined ET2000 PSAT Team. Please approve my request for KIRA roles to Rohit Valkunde - VFW2Z8X.,1,0.0
VWITS_J-Frog and Devstack access,1,0.0
VWITS_J-frog and devstack access required,1,0.0
VWITS_JDK installation and env setup,1,0.0
VWITS_JIRA Access for PowerCo,1,0.0
VWITS_JIRA Access request/Role assignment,1,0.0
VWITS_JIRA Account Activation and Board Access is required.,1,0.0
VWITS_JIRA Board Access is required.,1,0.0
VWITS_JIRA access for user,1,0.0
VWITS_JIRA access requiered,1,0.0
VWITS_JIRA board creation and access related concern.,1,0.0
"VWITS_JIRA: Please add user Chaudhari, Pundlik (Digital Solutions IN I-DB-P)",1,0.0
"VWITS_JIRA: Please add user Chaudhari, Pundlik (Digital Solutions IN I-DB-P) , Corp Id: F47AFX7 to the JIRA group 'cgm-vwits-svc'. Tasks/story created by him are not visible on JIRA board 'Smart Vulnerability Classifier (SVC)'",1,0.0
VWITS_Java installation failed,1,0.0
VWITS_Jira access,1,0.0
VWITS_Jira and solman is not working,1,0.0
VWITS_Jira software needed,1,0.0
VWITS_Jira access,1,0.0
VWITS_Jump server not accessible in VWITS office network,1,0.0
VWITS_K-SRM User id blocked,1,0.0
VWITS_KIRA,1,0.0
VWITS_KIRA Access,1,0.0
VWITS_KIRA Access -V-EASYCC,1,0.0
VWITS_KIRA Access -V-FES,1,0.0
"VWITS_KIRA Access Missing for SC3 Login.. Please add these KIRA Resources:  V:VWAG_SERVICECENTER_USER, V:VWAG_CMDB_VW_USER",1,0.0
VWITS_KIRA Access V-IMST-ONL,1,0.0
VWITS_KIRA Access V-VTM,1,0.0
VWITS_KIRA Resource,1,0.0
VWITS_KIRA Resource Assignment,1,0.0
VWITS_KIRA Resource Assignment for new FAP Team member,1,0.0
VWITS_KIRA Resource to be added .,1,0.0
VWITS_KIRA Resource “V:VWAG_KIRA_USER”,1,0.0
VWITS_KIRA Resources access required,1,0.0
VWITS_KIRA Resourse V:VWAG_NAD_PERSONAL_MAILBOX,1,0.0
VWITS_KIRA Resourse access required,1,0.0
VWITS_KIRA Role Assign : V-B2B-EXPORT - B2B t,1,0.0
VWITS_KIRA Role Assignment ET2000,1,0.0
VWITS_KIRA Roles Required.,1,0.0
VWITS_KIRA V:V-DORIS,1,0.0
VWITS_KIRA access request,1,0.0
VWITS_KIRA access to Dev Stack Confluence site.,1,0.0
VWITS_KIRA resouce access,1,0.0
VWITS_KIRA resource access  V:VWAG_AD_APAC,1,0.0
VWITS_KIRA resource access  V:VWAG_ECA_AUFT,1,0.0
VWITS_KIRA resource access  V:VWAG_ECA_BETR,1,0.0
VWITS_KIRA resource access SOP 100,1,0.0
VWITS_KIRA resource access V:V-CYBERARK,1,0.0
